ISO,ghgpc_1990,ghgpc_1995,ghgpc_2000,ghgpc_2005,ghgpc_2010,ghgpc_2011,ghgpc_2012
AFG,1.07,0.66,0.66,0.59,0.63,0.62,0.61
ALB,3.22,1.91,2.54,2.6,2.7,2.76,2.81
DZA,4.06,4.22,4.22,4.31,4.52,4.56,4.59
ASM,0.43,0.43,0.83,0.89,1.02,1.04,1.07
AGO,4.92,3.98,2.5,2.17,2.05,2.03,2
AIA,0.45,0.31,0.28,0.25,0.23,0.23,0.23
ATG,6.01,5.73,5.13,5.5,5.97,6.1,6.21
ARG,8.17,7.9,8.98,9.27,9.03,9.16,9.26
ARM,6.98,2.08,2.23,2.79,3.84,4.19,4.15
ABW,10.35,9.11,3,2.87,3.82,3.94,4.03
AUS,28.21,27,56.14,44.31,34.91,34.55,33.04
AUT,10.41,10.33,10.31,11.84,11.21,10.95,10.69
AZE,10.82,5.47,5.25,5.56,5.58,5.87,6.07
BHS,14.02,12.61,10.7,11.71,12.68,12.9,13.08
BHR,34.38,27.19,27.31,26.64,24.71,24.71,24.93
BGD,1.18,1.14,1.03,1.06,1.17,1.18,1.18
BRB,4.63,4.18,4.92,4.79,5.17,5.31,5.44
BLR,18.07,12.79,8.35,9.31,11.4,11.53,11.66
BEL,13.82,14.44,14.32,13.01,12.62,12.49,12.06
BLZ,3.37,2.91,7.03,7.44,4.86,4.86,4.84
BEN,9.44,7.57,5.79,5.94,3.47,3.4,3.34
BMU,10.92,8.09,8.26,9.12,9.16,9.45,9.7
BTN,2.39,3.24,4.09,2.49,4.49,4.47,4.44
BOL,28.36,22.31,10.76,33.08,10.13,60.15,59.23
BIH,6.92,1.87,5.87,5.36,6.66,6.88,7.07
BWA,9.66,7.67,22.61,12.89,41.46,41.22,40.98
BRA,10.73,9.73,7.01,12.82,14.87,14.99,15.05
BRN,71.49,72.08,29.08,29.82,35.26,35.66,35.97
BGR,12.25,9.78,8.27,8.92,9.2,9.95,9.34
BFA,1.38,1.39,4,3.56,2.79,2.73,2.67
BDI,0.5,0.48,0.51,0.68,0.65,0.64,0.63
KHM,2.16,1.93,3.45,7.58,8.79,8.68,8.57
CMR,8.08,6.52,10.24,8.86,4.84,4.75,4.65
CAN,22.01,28.54,24.78,26.35,22.39,29.97,29.48
CPV,0.59,0.63,0.75,0.76,0.81,0.82,0.83
CYM,11.89,10.49,7.34,7.13,7.6,7.71,7.8
CAF,50.2,40.87,137.32,115.01,117.58,115.7,113.84
TCD,3.08,2.57,15.57,12.37,9.31,9.06,8.82
CHL,4.14,4.6,5.85,6.22,6.66,6.8,6.91
CHN,3.34,4.07,3.97,5.92,8.22,8.82,9.04
COL,5.24,4.9,4.12,3.49,3.59,3.62,3.64
COM,0.71,0.68,0.69,0.8,0.8,0.79,0.79
COG,26.67,21.3,9.1,10.98,8.57,8.4,8.24
COD,39.44,29.33,18.36,14.71,12.85,12.53,12.21
COK,1.04,1.1,5.36,3.85,2.29,2.35,2.4
CRI,2.79,2.89,2.51,2.34,2.5,2.53,2.55
CIV,12.56,10.37,1.83,1.51,1.71,1.7,1.69
HRV,7.25,5.25,6.1,6.8,7.19,7.04,7.06
CUB,5.38,4.26,4.15,4.05,4.41,4.54,4.65
CYP,6.69,7.71,8.43,8.63,6.85,6.85,6.58
CZE,19,14.56,15.81,14.42,13.81,13.63,13.04
DNK,14.1,15.19,12.84,11.96,11.47,10.48,9.59
DJI,3.09,2.88,2.72,2.78,3.15,3.19,3.22
DMA,1.84,1.97,2.02,2.48,2.97,3.04,3.11
DOM,2.35,2.76,3.29,3.13,3.16,3.21,3.25
ECU,3.05,3.45,3.18,3.42,3.35,3.38,3.4
EGY,2.47,2.54,2.79,3.4,3.59,3.63,3.66
SLV,1.25,1.61,1.74,1.9,1.93,1.97,2
GNQ,0.65,4.51,7.81,9.4,8.76,8.72,8.66
ERI,1.02,1.1,1.26,0.92,0.84,0.83,0.81
EST,35.64,22.28,13.01,15.13,17.53,18.83,18.05
ETH,1.4,1.21,2.78,2.63,2.1,2.06,2.02
FLK,599.73,489.11,55.15,55.21,56.84,57.58,58.28
FRO,1.07,1.2,0.95,0.91,0.94,0.95,0.96
FJI,3.2,2.81,1.94,2.23,2.51,2.55,2.58
FIN,15.15,15.16,14.51,14.52,15.72,14.13,12.77
FRA,9.76,9.36,9.46,9.07,8.42,7.91,7.81
GUF,9.99,9.46,5.74,5.75,5.11,5.14,5.14
PYF,5.11,3.61,2.57,2.66,2.82,2.87,2.92
GAB,12.97,12.24,26.86,10.28,21.88,21.53,21.18
GMB,1.3,1.17,2.33,2.09,2.07,2.02,1.97
GEO,7,2.69,2.44,2.5,2.99,3.35,3.36
DEU,15.61,13.61,12.17,11.7,11.42,11.21,11.49
GHA,2.02,1.82,5.72,5.29,4.39,4.32,4.25
GIB,5.94,11.09,13.02,13.68,15.16,15.69,16.15
GRC,9.51,9.31,10.49,10.87,9.68,9.44,9.04
GRL,3.62,3.88,4.1,4.28,4.56,4.6,4.63
GRD,1.64,1.77,4.67,5.46,6.52,6.72,6.88
GLP,4.08,4.15,4.55,5.16,5.51,5.66,5.79
GUM,0.46,0.46,0.45,0.48,0.52,0.53,0.53
GTM,1.68,1.96,6.25,3.29,2.11,2.1,2.09
GIN,10.83,7.98,9.65,8.55,9.22,9.03,8.85
GNB,1.6,1.49,5.33,3.93,4.75,4.66,4.57
GUY,23.08,22.12,5.92,6.46,7.55,7.64,7.72
HTI,0.75,0.76,0.84,0.87,0.86,0.87,0.87
HND,2.8,3.01,3.52,3.36,2.58,2.58,2.58
HKG,6.43,6.61,6.63,6.73,7.81,8.02,8.2
HUN,9.39,7.48,7.38,7.48,6.62,6.44,6.31
ISL,85.39,78.06,14.66,13.41,16.95,17.17,16.92
IND,1.6,1.73,1.81,1.88,2.3,2.32,2.43
IDN,6.52,6.78,2.98,5.22,3.09,3.13,3.16
IRN,5.03,6.13,6.8,8.22,7.12,7.23,7.21
IRQ,5.7,5.27,5.23,4.55,4.74,4.76,4.74
IRL,18.57,18.94,17.91,16.85,14.68,13.55,13.64
ISR,8.8,9.99,10.91,10.81,10.66,10.83,10.99
ITA,8.95,9.1,9.6,9.61,8.09,7.95,7.93
JAM,3.94,4.42,4.79,4.96,5.32,5.46,5.59
JPN,10.67,11.42,11.19,11.34,10.6,10.97,11.62
JOR,3.45,3.67,3.73,4.26,3.96,3.93,3.88
KAZ,23.02,15.9,14.23,19.36,21.82,21.77,22.52
KEN,1.66,1.52,1.48,1.36,1.29,1.27,1.26
KIR,0.56,0.53,0.52,0.49,0.56,0.57,0.58
PRK,8.07,5.14,4.28,4.47,4.25,4.35,4.44
KOR,6.99,10.16,11.15,11.94,12.98,13.34,13.65
KWT,16.97,36.04,34.22,39.81,31.35,30.98,30.6
KGZ,7.57,2.28,2.01,2.15,2.44,2.56,2.52
LAO,7.1,6.54,4.58,9.23,5.95,24.76,24.33
LVA,12.64,7.55,4.85,5.97,7.02,6.82,6.77
LBN,2.95,5.13,5.2,4.87,4.41,4.42,4.38
LSO,1.18,1.11,1.74,1.92,1.71,1.7,1.69
LBR,0.83,0.69,0.72,0.64,0.7,0.69,0.68
LBY,14.34,13.74,12.3,12.5,12.88,13.12,13.34
LTU,14.7,8.05,6.08,7.17,8.73,9.63,9.72
LUX,34.32,26.29,23.55,29.37,25.66,25.04,24.08
MAC,2.82,2.98,2.98,2.89,2.94,2.98,3.01
MKD,7.13,5.89,5.66,5.55,5.83,6.01,6.17
MDG,4.19,3.46,5.35,8.74,5.56,5.42,5.29
MWI,0.9,0.82,1.36,1.59,1.43,1.39,1.36
MYS,10.9,12.17,7.32,9.54,9.33,9.45,9.55
MDV,0.61,1.4,1.12,1.64,2.1,2.13,2.15
MLI,3.87,3.5,6.85,7.29,5.49,5.35,5.21
MLT,6.94,6.85,6.26,7.64,4.84,4.75,4.49
MHL,0.1,0.11,0.12,0.13,0.15,0.15,0.15
MTQ,5.38,5.78,4.64,5.3,6.22,6.41,6.57
MRT,2.95,3.44,4.41,3.65,3.59,3.55,3.51
MUS,1.49,1.63,2.06,2.35,2.71,2.79,2.85
MYT,0.12,0.09,0.08,0.07,0.06,0.06,0.06
MEX,5.74,5.41,5.55,5.79,5.46,5.47,5.49
FSM,0.49,0.54,0.36,0.37,0.39,0.4,0.4
MDA,8.71,3.84,2.63,3.39,3.17,3.23,3.23
MNG,26.57,25.73,21.59,10.95,9.16,9.23,9.28
MSR,5.41,6.36,79.1,95.09,114.69,117.59,120.02
MAR,1.52,1.56,1.78,2.32,2.4,2.44,2.47
MOZ,3.02,2.31,11.78,16.65,15.85,15.46,15.09
MMR,20.78,20.8,3.82,4.44,6.27,10.07,10.01
NAM,5.16,4.38,17.91,15.26,17.28,17.07,16.84
NRU,0.3,0.32,0.36,0.39,0.44,0.45,0.46
NPL,1.39,1.31,1.35,1.22,1.22,1.22,1.48
NLD,15.07,15.24,13.89,13.32,12.78,12.01,11.72
NCL,9.69,9.31,7.88,6.76,6.36,6.47,6.56
NZL,19.33,18.93,19.29,19.85,17.43,17.18,17.52
NIC,2.48,2.31,2.75,3.09,2.71,2.72,2.72
NER,0.89,0.89,1.01,0.78,0.71,0.69,0.67
NGA,1.71,1.7,2.56,2.68,1.83,1.81,1.78
NIU,0.43,0.5,0.61,0.71,0.88,0.92,0.95
MNP,0.12,0.11,0.12,0.16,0.23,0.23,0.23
NOR,15.91,16.19,15.86,15.48,13.43,12.98,12.72
OMN,19.53,19.24,16.16,19.07,21.07,20.07,18.77
PAK,1.55,1.65,1.72,1.89,2.05,2.06,2.06
PAN,2.74,3.2,3,3.15,4.19,4.24,4.27
PNG,7.1,7.51,1.54,1.55,1.56,1.55,1.55
PRY,15.02,12.61,7.37,15.37,7.74,7.67,7.6
PER,2.73,2.65,2.56,2.47,2.45,2.47,2.49
PHL,1.56,1.8,1.93,1.71,1.71,1.72,1.73
POL,12.43,11.92,10.24,10.78,11.16,11.07,10.85
PRT,5.88,6.85,8.6,9.67,6.77,6.79,6.84
PRI,0.84,0.78,0.78,0.83,0.86,0.88,0.89
QAT,46.12,54.56,74.85,74.76,56.23,52.8,50.31
REU,2.21,2.64,2.84,2.8,2.91,2.97,3.01
ROU,10.58,7.72,5.92,6.31,5.39,5.79,5.6
RUS,24.26,17.8,18.88,17.56,18.13,19.37,19.58
RWA,0.45,0.57,0.58,0.53,0.6,0.59,0.58
SHN,2.59,2.02,2.14,1.8,1.99,2.08,2.15
KNA,2.39,2.9,3.55,3.42,3.52,3.58,3.63
LCA,2.01,2.27,2.58,2.86,3.18,3.25,3.31
SPM,0.21,0.22,1.53,1.43,1.47,1.51,1.55
VCT,1.31,1.74,2.06,2.4,2.76,2.84,2.92
WSM,1.76,1.64,1.82,1.71,1.83,1.86,1.89
STP,0.83,0.82,1.48,1.15,1.04,1.04,1.04
SAU,12.65,14.11,15.42,15.63,18.18,18.55,19.41
SEN,1.47,1.39,4.93,4.46,4.12,4.04,3.95
SRB,7.92,5.33,5.29,3.72,6.68,6.89,7.08
SYC,5.26,5.34,6.7,7.9,9.36,9.63,9.86
SLE,2.38,2.28,3.57,2.9,2.02,2,1.98
SGP,10.79,12.78,12.28,10.59,10.38,10.48,10.54
SVK,13.69,10.04,9.36,9.08,9.2,8.92,8.5
SVN,9.97,9.47,10.52,11.18,10.66,10.43,10.19
SLB,18.93,10.82,9.91,9.21,8.51,8.43,8.35
SOM,2.84,2.96,2.77,2.51,2.23,2.19,2.15
ZAF,9.49,8.96,9.38,10.33,8.87,8.69,8.6
ESP,7.54,8.1,9.46,10.07,7.68,7.61,7.45
LKA,1.06,1.13,1.24,1.36,1.4,1.43,1.44
SDN,4.63,4.16,19.09,16.97,13.68,13.44,13.23
SUR,25.81,21.08,5.35,5.16,4.82,4.9,4.97
SWZ,2.62,2.38,2.65,2.66,2.83,2.83,2.83
SWE,9.02,9.32,8.78,8.26,7.61,7.28,6.91
CHE,8.45,7.78,7.41,7.54,7.3,6.7,6.77
SYR,3.9,4.23,4.16,3.72,3.39,3.45,3.52
TWN,6.79,8.77,11.37,12.79,13.23,13.64,14
TJK,4.09,2.2,1.63,1.8,1.93,1.96,1.92
TZA,3.73,3.04,6.35,6.94,5.21,5.06,4.93
THA,3.68,4.77,4.55,5.56,6.34,6.48,6.59
TLS,0.6,0.9,0.72,0.89,0.87,0.87,0.86
TGO,3.54,2.98,4.53,5.79,3.58,3.52,3.45
TKL,0.22,0.24,0.24,0.3,0.32,0.32,0.32
TON,1.31,1.57,1.79,1.52,1.46,1.49,1.51
TTO,12.61,13.37,19.02,33.87,43.72,44.84,45.84
TUN,2.61,2.75,3.22,3.2,3.54,3.6,3.65
