ISO,co2_1990,co2_1991,co2_1992,co2_1993,co2_1994,co2_1995,co2_1996,co2_1997,co2_1998,co2_1999,co2_2000,co2_2001,co2_2002,co2_2003,co2_2004,co2_2005,co2_2006,co2_2007,co2_2008,co2_2009,co2_2010,co2_2011,co2_2012,co2_2013,ISO,co2pc_1990,co2pc_1991,co2pc_1992,co2pc_1993,co2pc_1994,co2pc_1995,co2pc_1996,co2pc_1997,co2pc_1998,co2pc_1999,co2pc_2000,co2pc_2001,co2pc_2002,co2pc_2003,co2pc_2004,co2pc_2005,co2pc_2006,co2pc_2007,co2pc_2008,co2pc_2009,co2pc_2010,co2pc_2011,co2pc_2012,co2pc_2013,ISO,co2pcgdp_1990,co2pcgdp_1991,co2pcgdp_1992,co2pcgdp_1993,co2pcgdp_1994,co2pcgdp_1995,co2pcgdp_1996,co2pcgdp_1997,co2pcgdp_1998,co2pcgdp_1999,co2pcgdp_2000,co2pcgdp_2001,co2pcgdp_2002,co2pcgdp_2003,co2pcgdp_2004,co2pcgdp_2005,co2pcgdp_2006,co2pcgdp_2007,co2pcgdp_2008,co2pcgdp_2009,co2pcgdp_2010,co2pcgdp_2011,co2pcgdp_2012,co2pcgdp_2013,ISO,ghg_1990,ghg_1995,ghg_2000,ghg_2005,ghg_2010,ghg_2011,ghg_2012,ISO,ghgpc_1990,ghgpc_1995,ghgpc_2000,ghgpc_2005,ghgpc_2010,ghgpc_2011,ghgpc_2012
AFG,1992,1689,1106,989,869,855,785,792,754,781,704,616,535,473,513,561,513,548,558,559,565,594,608,620,AFG,0.170,0.134,0.080,0.065,0.053,0.049,0.043,0.042,0.039,0.039,0.034,0.029,0.024,0.020,0.021,0.023,0.020,0.021,0.021,0.020,0.020,0.020,0.020,0.020,AFG,85.49,117.50,52.52,51.24,81.24,74.96,75.61,97.71,105.23,90.83,97.55,90.02,96.43,87.15,82.05,74.53,65.21,58.26,47.67,25.79,21.28,17.62,15.14,13.35,AFG,12528.02,11635.66,13530.95,14770.26,17791.33,17981.31,18168.86,AFG,1.07,0.66,0.66,0.59,0.63,0.62,0.61
ALB,6393,4260,2339,2185,2338,2070,2068,1596,1839,3158,3275,3509,4150,4303,3845,4730,4389,4431,4369,4227,4505,4869,4739,4875,ALB,1.855,1.231,0.679,0.639,0.691,0.616,0.619,0.479,0.553,0.952,0.991,1.068,1.271,1.328,1.195,1.480,1.380,1.399,1.384,1.341,1.430,1.544,1.499,1.536,ALB,319.95,475.50,529.35,519.64,506.95,502.51,541.60,610.95,471.41,441.20,442.25,447.70,413.86,395.26,372.87,364.10,334.75,264.93,163.92,87.13,78.64,81.70,71.40,70.42,ALB,11112.73,6421.57,8389.28,8308.39,8507,8712.3,8898.64,ALB,3.22,1.91,2.54,2.6,2.7,2.76,2.81
DZA,69557,73853,79644,80509,77978,80443,79434,78217,78786,81663,82724,81523,83695,88875,89276,93457,98427,102106,106292,112541,114300,117063,126732,132411,DZA,2.651,2.746,2.892,2.859,2.712,2.744,2.662,2.578,2.556,2.611,2.608,2.536,2.569,2.693,2.668,2.752,2.852,2.909,2.975,3.093,3.084,3.100,3.293,3.377,DZA,151.40,134.92,124.81,159.75,177.49,190.89,190.93,190.26,178.54,183.82,190.44,187.51,197.46,195.32,182.66,175.61,173.59,161.27,167.87,178.19,173.86,163.81,163.59,157.29,DZA,106445.82,123799.18,133778.2,146241.5,167674.63,172303.51,176471.23,DZA,4.06,4.22,4.22,4.31,4.52,4.56,4.59
AGO,11019,11217,11219,11433,10788,12151,14625,15281,15784,16671,15525,15332,15141,16483,17430,15886,15840,16476,16306,17289,18628,20824,21641,22286,AGO,1.066,1.053,1.020,1.005,0.919,1.004,1.174,1.195,1.201,1.234,1.115,1.066,1.017,1.069,1.091,0.960,0.925,0.930,0.890,0.913,0.953,1.032,1.039,1.038,AGO,224.40,232.20,238.38,282.11,293.98,305.01,273.37,255.00,231.06,215.30,213.09,203.74,190.80,182.14,164.32,145.60,121.65,96.41,86.23,84.21,82.99,75.35,80.69,93.33,AGO,50806.54,48230.3,34780.68,35855.74,40029.39,40878.65,41657.16,AGO,4.92,3.98,2.5,2.17,2.05,2.03,2
ATG,320,321,318,306,326,336,333,305,320,343,338,337,343,353,381,385,393,406,418,429,440,456,466,467,ATG,5.170,5.138,5.018,4.711,4.895,4.911,4.743,4.218,4.307,4.514,4.351,4.266,4.283,4.367,4.661,4.660,4.707,4.807,4.895,4.968,5.041,5.178,5.234,5.187,ATG,263.32,224.98,266.04,221.11,229.44,231.42,212.07,199.21,276.91,347.37,244.90,277.03,207.08,179.20,170.69,186.92,157.94,145.80,145.99,164.73,170.40,185.36,184.88,182.31,ATG,372.29,391.94,398.69,454.07,521.05,537.81,552.75,ATG,6.01,5.73,5.13,5.5,5.97,6.1,6.21
ARG,106852,111169,113742,116548,120621,120977,132667,133201,146510,149652,148876,137529,125670,135478,154388,157983,168691,176342,176713,168523,171718,175834,181266,185878,ARG,3.275,3.361,3.393,3.432,3.506,3.473,3.762,3.732,4.057,4.098,4.034,3.690,3.340,3.568,4.030,4.088,4.327,4.483,4.454,4.211,4.253,4.317,4.412,4.485,ARG,382.20,339.31,297.01,296.06,290.48,298.28,298.54,270.67,255.20,258.85,266.54,275.34,291.03,298.51,274.94,275.44,249.75,217.66,219.65,224.61,210.89,201.06,199.76,212.81,ARG,266555.03,275096.41,331450.87,358385.64,364684.25,372873.14,380295.32,ARG,8.17,7.9,8.98,9.27,9.03,9.16,9.26
ARM,20919,21782,11138,5281,2955,3684,2808,3491,3625,3264,3729,3795,3264,3635,3868,4494,4504,5133,8012,6621,6369,7327,7161,6853,ARM,5.902,6.202,3.229,1.567,0.898,1.143,0.885,1.113,1.164,1.055,1.212,1.240,1.071,1.197,1.278,1.491,1.500,1.717,2.691,2.231,2.149,2.472,2.412,2.302,ARM,383.37,478.24,1342.11,1517.54,1510.78,1482.54,1473.10,1560.34,1522.42,1552.58,1481.20,1367.79,1234.07,1098.59,990.98,889.84,768.94,1017.34,990.95,590.22,273.83,146.36,170.19,125.33,ARM,24729.92,6710.37,6867.71,8401.82,11393.04,12417.74,12319.39,ARM,6.98,2.08,2.23,2.79,3.84,4.19,4.15
AUS,274313,275907,279930,284320,287347,295186,311019,328128,348047,354939,356605,359088,370401,375725,395422,414280,418824,420641,436467,433418,433619,434427,406376,394843,AUS,16.045,15.928,15.970,16.041,16.034,16.287,16.959,17.676,18.518,18.654,18.516,18.427,18.788,18.830,19.557,20.188,20.072,19.798,20.165,19.668,19.354,19.104,17.630,16.915,AUS,357.11,377.02,390.50,380.72,390.88,370.07,366.00,369.89,356.14,349.22,315.83,319.71,327.66,318.95,306.38,321.81,331.31,324.09,314.35,313.47,312.26,308.67,306.03,314.09,AUS,482298.26,489294.15,1081244.41,909262.03,782102.69,785795.15,761686.27,AUS,28.21,27,56.14,44.31,34.91,34.55,33.04
AUT,62747,66485,61588,61638,62144,64934,69240,68644,70139,68094,66931,70605,72166,77305,81451,82725,80587,78157,79357,72494,78777,77125,75378,76420,AUT,8.181,8.605,7.899,7.830,7.828,8.132,8.645,8.565,8.757,8.503,8.345,8.771,8.918,9.494,9.941,10.041,9.736,9.403,9.513,8.659,9.376,9.146,8.906,8.996,AUT,263.31,243.74,229.70,249.33,232.76,234.91,238.48,226.01,206.17,191.71,184.94,189.37,190.87,185.37,180.69,174.09,168.07,177.70,185.62,178.78,175.81,172.37,178.56,189.79,AUT,79836.96,82480.63,82686.75,97552.85,94172.35,92315.05,90460.21,AUT,10.41,10.33,10.31,11.84,11.21,10.95,10.69
AZE,63719,65066,43200,40374,36930,31455,28195,26806,28421,28279,30198,28139,26941,30042,30244,32387,31742,27238,33738,28620,28536,30999,32761,34182,AZE,8.830,8.874,5.798,5.335,4.812,4.048,3.591,3.384,3.560,3.514,3.720,3.433,3.254,3.589,3.573,3.782,3.663,3.106,3.800,3.185,3.138,3.369,3.519,3.631,AZE,352.45,392.86,666.10,895.92,1165.88,1382.66,1433.14,1444.24,1450.82,1387.14,1285.25,1189.66,1102.02,1006.47,912.66,752.73,555.92,560.69,516.86,313.65,279.56,255.54,212.97,180.44,AZE,78096.62,42526.79,42646.56,47617.17,50724.57,53982.83,56537.08,AZE,10.82,5.47,5.25,5.56,5.58,5.87,6.07
